service_id,service_name,source_url_used,png_file,svg_file,png_path,svg_path,status,timestamp
netflix,Netflix,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,,netflix.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\netflix.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\netflix.svg,PARTIAL,2025-11-07 23:38:11
prime_video,Prime Video,https://upload.wikimedia.org/wikipedia/commons/f/f1/Prime_Video.png,prime_video.png,prime_video.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\prime_video.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\prime_video.svg,OK,2025-11-07 23:38:11
disney_plus,Disney+,https://upload.wikimedia.org/wikipedia/commons/3/3e/Disney%2B_logo.svg,,disney_plus.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\disney_plus.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\disney_plus.svg,PARTIAL,2025-11-07 23:38:12
apple_tv_plus,Apple TV+,,,,,,FAILED,2025-11-07 23:38:12
paramount_plus,Paramount+,,,,,,FAILED,2025-11-07 23:38:12
crave,Crave,,,,,,FAILED,2025-11-07 23:38:13
cbc_gem,CBC Gem,,,,,,FAILED,2025-11-07 23:38:13
ctv,CTV,,,,,,FAILED,2025-11-07 23:38:14
global_tv,Global TV,,,,,,FAILED,2025-11-07 23:38:14
tsn,TSN,,,,,,FAILED,2025-11-07 23:38:15
tvmaze,TVmaze,https://static.tvmaze.com/images/tvm-header-logo.png,tvmaze.png,tvmaze.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tvmaze.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tvmaze.svg,OK,2025-11-07 23:38:15
omdb,OMDb,,,,,,FAILED,2025-11-07 23:38:15
tmdb,TMDB,,,,,,FAILED,2025-11-07 23:38:16
imdb,IMDb,https://upload.wikimedia.org/wikipedia/commons/6/69/IMDB_Logo_2016.svg,,imdb.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\imdb.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\imdb.svg,PARTIAL,2025-11-07 23:38:16
trakt,Trakt,,,,,,FAILED,2025-11-07 23:38:17
