service_id,channel_name,matched_display_name,source_url,png_file,svg_file,png_path,svg_path,status,timestamp
abc,ABC,abc,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/abc-us.png,abc.png,abc.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\abc.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\abc.svg,OK,2025-11-08 01:15:48
cbs,CBS,CBS,https://raw.githubusercontent.com/tv-logo/tv-logos/main/countries/united-states/cbs-logo-white-us.png,cbs.png,cbs.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cbs.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cbs.svg,OK,2025-11-08 01:15:48
nbc,NBC,nbc,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/nbc-us.png,nbc.png,nbc.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\nbc.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\nbc.svg,OK,2025-11-08 01:15:48
fox,Fox,fox,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/fox-us.png,fox.png,fox.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fox.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fox.svg,OK,2025-11-08 01:15:49
cw,CW,cw,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/cw-us.png,cw.png,cw.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cw.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cw.svg,OK,2025-11-08 01:15:49
pbs,PBS,pbs,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/pbs-us.png,pbs.png,pbs.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\pbs.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\pbs.svg,OK,2025-11-08 01:15:49
ion,Ion,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 01:15:50
amc,AMC,amc,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/amc-us.png,amc.png,amc.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\amc.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\amc.svg,OK,2025-11-08 01:15:50
tnt,TNT,tnt,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/tnt-us.png,tnt.png,tnt.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tnt.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tnt.svg,OK,2025-11-08 01:15:50
tbs,TBS,tbs,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/tbs-us.png,tbs.png,tbs.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tbs.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tbs.svg,OK,2025-11-08 01:15:51
usa,USA Network,usa-network,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/canada/usa-network-ca.png,usa.png,usa.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\usa.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\usa.svg,OK,2025-11-08 01:15:51
fx,FX,fx,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/fx-us.png,fx.png,fx.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fx.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fx.svg,OK,2025-11-08 01:15:51
fxx,FXX,fxx,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/fxx-us.png,fxx.png,fxx.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fxx.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\fxx.svg,OK,2025-11-08 01:15:52
syfy,Syfy,syfy,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/syfy-us.png,syfy.png,syfy.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\syfy.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\syfy.svg,OK,2025-11-08 01:15:52
bravo,Bravo,bravo,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/bravo-us.png,bravo.png,bravo.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\bravo.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\bravo.svg,OK,2025-11-08 01:15:53
e,E!,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 01:15:53
lifetime,Lifetime,lifetime,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/lifetime-us.png,lifetime.png,lifetime.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\lifetime.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\lifetime.svg,OK,2025-11-08 01:15:53
ae,A&E,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 01:15:53
discovery,Discovery Channel,discovery-channel,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/discovery-channel-us.png,discovery.png,discovery.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\discovery.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\discovery.svg,OK,2025-11-08 01:15:53
tlc,TLC,tlc,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/tlc-us.png,tlc.png,tlc.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tlc.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\tlc.svg,OK,2025-11-08 01:15:54
history,History,,,,,,,NOT_FOUND_IN_MOSAIC,2025-11-08 01:15:54
food_network,Food Network,food-network,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/food-network-us.png,food_network.png,food_network.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\food_network.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\food_network.svg,OK,2025-11-08 01:15:54
hgtv,HGTV,hgtv,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/hgtv-us.png,hgtv.png,hgtv.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\hgtv.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\hgtv.svg,OK,2025-11-08 01:15:54
animal_planet,Animal Planet,animal-planet,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/animal-planet-us.png,animal_planet.png,animal_planet.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\animal_planet.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\animal_planet.svg,OK,2025-11-08 01:15:55
natgeo,National Geographic,national-geographic,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/national-geographic-us.png,natgeo.png,natgeo.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\natgeo.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\natgeo.svg,OK,2025-11-08 01:15:55
mtv,MTV,mtv,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/mtv-us.png,mtv.png,mtv.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\mtv.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\mtv.svg,OK,2025-11-08 01:15:56
vh1,VH1,vh1,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/vh1-us.png,vh1.png,vh1.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\vh1.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\vh1.svg,OK,2025-11-08 01:15:56
comedy_central,Comedy Central,comedy-central,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/comedy-central-us.png,comedy_central.png,comedy_central.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\comedy_central.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\comedy_central.svg,OK,2025-11-08 01:15:56
paramount_network,Paramount Network,paramount-network,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/paramount-network-us.png,paramount_network.png,paramount_network.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\paramount_network.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\paramount_network.svg,OK,2025-11-08 01:15:57
disney_channel,Disney Channel,disney-channel,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/disney-channel-us.png,disney_channel.png,disney_channel.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\disney_channel.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\disney_channel.svg,OK,2025-11-08 01:15:57
nickelodeon,Nickelodeon,nickelodeon,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/nickelodeon-us.png,nickelodeon.png,nickelodeon.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\nickelodeon.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\nickelodeon.svg,OK,2025-11-08 01:15:58
cartoon_network,Cartoon Network,cartoon-network,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/united-states/cartoon-network-us.png,cartoon_network.png,cartoon_network.svg,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cartoon_network.png,C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie\image\services_logos\cartoon_network.svg,OK,2025-11-08 01:15:58
