path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E07 - The Perfect Mark.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E07 - The Perfect Mark.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2619.001905,347.6,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E08 - Endgame.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E08 - Endgame.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2623.622676,285.7,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E09 - The Crossing.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E09 - The Crossing.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2624.458594,262.0,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E10 - The Devil's Share.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E10 - The Devil's Share.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2621.46322,222.1,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E11 - Lethe.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E11 - Lethe.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2619.048345,265.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E12 - Aletheia.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E12 - Aletheia.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2621.57932,358.6,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E13 - 4C.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E13 - 4C.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2621.46322,247.7,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E14 - Provenance.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E14 - Provenance.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2536.385306,293.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E15 - Last Call.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E15 - Last Call.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2622.461678,306.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Person of Interest [1411]\Season 03\Person of Interest - S03E16 - RAM.mp4,TV/Person of Interest [1411]/Season 03/Person of Interest - S03E16 - RAM.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2617.631927,322.9,ffprobe passed and file is TV-safe enough,,,
